Segment,Décalage (GHz),Corrélation max,Nb pics obs,Nb pics modèle aligné,Nb pics matchés,Ratio pics matchés,F1-score,Précision,Rappel
1,6.271999999880791,59907904792.75767,40,8,6,0.75,0.24999999999999997,0.15,0.75
2,5.879999999888241,24091317581.402367,33,3,3,1.0,0.16666666666666669,0.09090909090909091,1.0
3,4.094999999841093,25639312743.633827,24,3,0,0.0,0.0,0.0,0.0
4,38.10300000052666,36735266630.350945,43,4,4,1.0,0.1702127659574468,0.09302325581395349,1.0
5,5.879999999888241,38499637724.834564,34,4,4,1.0,0.21052631578947367,0.11764705882352941,1.0
6,6.240000000223517,103750878984.58856,42,10,6,0.6,0.23076923076923073,0.14285714285714285,0.6
7,6.044999999765423,99108778642.37357,40,9,8,0.8888888888888888,0.326530612244898,0.2,0.8888888888888888
8,14.858000000123866,35173529160.32729,41,3,3,1.0,0.13636363636363635,0.07317073170731707,1.0
9,23.45999999975902,61732137219.439644,35,5,4,0.8,0.19999999999999998,0.11428571428571428,0.8
10,20.306000000069616,52083020610.77502,30,4,2,0.5,0.11764705882352941,0.06666666666666667,0.5
