Segment,Décalage (GHz),Corrélation max,Nb pics obs,Nb pics modèle aligné,Nb pics matchés,Ratio pics matchés
1,-0.1959999999962747,7143907971.943044,1,2,1,0.5
2,0.7820000000065193,7312489616.52649,3,1,0,0.0
3,0.0,0.0,1,0,0,0.0
4,0.389999999984866,7514328345.222189,3,1,0,0.0
5,0.7800000000279397,7595532253.541212,3,1,0,0.0
6,0.0,7745443926.27681,1,1,0,0.0
7,1.1719999999913853,7852567953.412725,2,1,0,0.0
8,0.0,7932509986.637106,1,1,0,0.0
9,0.0,8011291468.494473,1,1,1,1.0
10,0.0,0.0,3,0,0,0.0
11,0.1959999999962747,8256282166.775941,2,1,0,0.0
12,12.305999999996857,8354426627.529526,4,1,0,0.0
13,0.194999999992433,8479735893.213172,2,1,0,0.0
14,0.0,8547371539.849666,1,1,0,0.0
15,0.0,0.0,1,0,0,0.0
16,0.0,0.0,0,0,0,0.0
17,0.0,8938157451.146454,1,1,1,1.0
18,0.0,9057359661.445528,1,1,1,1.0
19,0.0,9199614352.412085,1,1,1,1.0
20,0.0,9298752646.473368,1,1,0,0.0
21,-0.1959999999962747,18719499160.240723,2,3,2,0.6666666666666666
22,0.19500000000698492,9522470116.010292,2,1,1,1.0
23,0.0,9605216032.0369,1,1,0,0.0
24,0.0,9737585786.48393,1,1,0,0.0
25,0.0,0.0,1,0,0,0.0
26,0.0,9967832331.287382,1,1,0,0.0
27,0.0,10128194966.964483,1,1,1,1.0
28,-0.39000000001396984,10296955137.363132,1,3,1,0.3333333333333333
29,0.194999999992433,20804395509.705482,3,2,2,1.0
30,0.19500000000698492,10527473395.984112,2,1,0,0.0
31,0.0,10652480693.689173,1,1,0,0.0
32,0.1959999999962747,10828634420.7732,2,1,1,1.0
33,-0.7820000000065193,21807380069.817528,2,4,1,0.25
34,0.0,11038403685.627697,1,1,1,1.0
35,0.0,11146379761.211752,1,1,1,1.0
36,0.0,0.0,4,0,0,0.0
37,0.0,0.0,0,1,0,0.0
38,-0.9769999999989523,11467616961.350695,1,2,1,0.5
39,0.19500000000698492,11634696374.992666,2,1,0,0.0
40,0.0,11857999654.246525,1,1,1,1.0
41,-0.19600000001082662,11916663890.512316,1,2,0,0.0
42,0.0,12128931763.146776,1,1,0,0.0
43,0.0,0.0,2,0,0,0.0
44,0.0,12385371670.02487,1,1,1,1.0
45,0.194999999992433,12477982177.851284,2,1,1,1.0
46,0.0,12639447967.020693,1,1,0,0.0
47,0.3919999999925494,12761871758.156178,3,1,0,0.0
48,0.19500000000698492,12870937675.306099,2,1,0,0.0
49,0.389999999984866,12993697777.877243,3,1,1,1.0
50,0.0,13144838789.984838,1,1,1,1.0
